,x,y
1,43.54136855,165108.3099
2,31.30278168,61430.54851
3,41.24218703,140318.4527
4,52.93189641,296661.3251
5,55.39141693,339958.7775
6,66.4107639,585890.5798
7,11.66208179,3255.717091
8,18.04957879,11848.65846
9,50.01498376,250339.166
10,45.37180972,186924.7306
11,57.67973887,383871.2104
12,39.09786806,119525.0297
13,71.63906169,735333.4099
14,6.872066965,716.9936845
15,23.84568434,27140.01052
16,37.88684509,108891.0611
17,67.86600565,625201.0187
18,19.60390574,15165.17678
19,24.53290686,29549.63668
20,42.29619728,151383.0766
21,54.90904499,331109.1168
22,42.51270624,153714.412
23,16.41737377,8915.326381
24,59.53352392,422115.5577
25,75.52886621,861766.9875
26,76.13599712,882701.827
27,63.96255794,523403.6002
28,51.66470047,275792.4145
29,29.1529615,49604.99355
30,17.7656975,11278.42871
31,7.871241849,1031.190761
32,73.91777404,807782.6221
33,61.31212912,461015.5783
34,27.53062083,41775.48851
35,69.18684066,662430.6273
36,4.393908929,280.8375587
37,40.58004897,133754.5497
38,5.805808078,447.9659099
39,33.63136427,76149.5792
40,79.70124265,1012622.353
41,21.32919227,19447.58458
42,12.43228629,3881.834598
43,62.95552202,499086.3054
44,21.37675779,19585.85055
45,62.49885478,488265.0843
46,18.60880464,12892.83373
47,73.34663954,789205.8289
48,75.42907212,858391.8878
49,56.37567357,358415.3359
50,57.80793753,386450.8787
51,70.23629441,693041.3448
52,35.1941591,87247.12688
53,10.6814078,2512.181768
54,18.14792007,12025.73451
55,51.50484316,273323.6964
56,61.19289658,458290.3819
57,69.17424612,662013.0804
58,11.48118997,3057.771711
59,56.13866988,353891.651
60,15.56470992,7559.916569
61,9.589194196,1816.834219
62,24.88028707,30834.42829
63,56.81276981,366803.9562
64,48.1503941,223362.5117
65,43.39887645,163529.6455
66,42.63831412,155065.9302
67,57.49729103,380206.2578
68,72.79671811,771601.2397
69,69.31537441,666106.9191
70,50.05497851,250879.8589
71,59.13634908,413699.2536
72,70.19108637,691693.3194
73,41.24738373,140413.0393
74,56.44501191,359682.8049
75,43.21398794,161442.5868
76,66.10247685,577727.1438
77,52.28803599,285947.7466
78,44.800936,179916.9628
79,7.406089924,901.7226259
80,25.16899391,31947.2538
81,38.44726161,113738.2623
82,55.32492561,338712.2937
83,33.76496048,77004.54694
84,16.40679408,8846.038041
85,47.56186278,215209.0604
86,14.48181428,6139.067879
87,30.16491536,54963.56241
88,43.70909418,167037.5554
89,27.75909873,42822.62755
90,71.74157171,738525.7004
91,20.31234703,16815.84741
92,60.02093745,432476.5072
93,23.09120446,24613.41275
94,64.88678835,546404.1906
95,34.75554149,84033.97973
96,76.24311244,886442.1651
97,44.18196478,172552.1613
98,64.89160609,546544.4625
99,42.36069331,152110.17
100,41.06149768,138515.0497
